/en/d/d0/Mt._Juliet,_Tennessee_Seal.gif: (result:false, lastLocation:816, lastRead:815, symbol: ( [ CommentExtension DataBlock* ZeroBlock ] [ GraphicControlExtension? TableBasedImage CompressedDataBlock* ZeroBlock ] [ GraphicControlExtension? PlainTextExtension DataBlock* ZeroBlock ] [ ApplicationExtension DataBlock* ZeroBlock ] )*, sequence:  Header89a LogicalScreenDesc GraphicControlExtension TableBasedImageCompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock  ZeroBlock)
/en/3/3b/Christiane_rinner_-_AMEN.gif: (result:false, lastLocation:816, lastRead:815, symbol: ( [ Trailer ] ), sequence:  Header89a LogicalScreenDesc  ApplicationExtensionDataBlock  ZeroBlock )
/en/f/f9/Common.gif: (result:false, lastLocation:789, lastRead:788, symbol: ( [ PlainTextExtension DataBlock* ] [ CommentExtension DataBlock* ] [ TableBasedImage CompressedDataBlock* ] [ ApplicationExtension DataBlock* ] ), sequence:  Header89a LogicalScreenDesc GraphicControlExtension)
/en/f/fe/Evan_Guajardo_Wrye_1.gif: (result:false, lastLocation:789, lastRead:788, symbol: ( [ PlainTextExtension DataBlock* ] [ CommentExtension DataBlock* ] [ TableBasedImage CompressedDataBlock* ] [ ApplicationExtension DataBlock* ] ), sequence:  Header89a LogicalScreenDesc GraphicControlExtension)
/en/f/fd/Old_Man_Happy.gif: (result:false, lastLocation:96, lastRead:95, symbol: ( [ Trailer ] ), sequence:  Header89a LogicalScreenDesc  ApplicationExtensionDataBlock  ZeroBlock )
/en/a/a3/Lr310807-grave-martha.gif: (result:false, lastLocation:789, lastRead:788, symbol: ( [ PlainTextExtension DataBlock* ] [ CommentExtension DataBlock* ] [ TableBasedImage CompressedDataBlock* ] [ ApplicationExtension DataBlock* ] ), sequence:  Header89a LogicalScreenDesc GraphicControlExtension)
/en/a/af/Fwhite.gif: (result:false, lastLocation:900, lastRead:899, symbol: ( [ Trailer ] ), sequence:  Header87a LogicalScreenDesc  TableBasedImageCompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock  ZeroBlock )
/en/a/a9/Anim3.gif: (result:false, lastLocation:2515, lastRead:2514, symbol: ( [ Trailer ] ), sequence:  Header89a LogicalScreenDesc  ApplicationExtensionDataBlock  ZeroBlock GraphicControlExtensionTableBasedImageCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockZeroBlock GraphicControlExtensionTableBasedImageCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockZeroBlock )
/en/a/a1/TiO2_Good_Surface.gif: (result:false, lastLocation:117, lastRead:116, symbol: ( [ PlainTextExtension DataBlock* ] [ CommentExtension DataBlock* ] [ TableBasedImage CompressedDataBlock* ] [ ApplicationExtension DataBlock* ] ), sequence:  Header89a LogicalScreenDesc GraphicControlExtension)
/en/1/14/070312-moire-a5-a16-same-curves-changing-layers.gif: (result:false, lastLocation:629, lastRead:628, symbol: ( [ Trailer ] ), sequence:  Header89a LogicalScreenDesc GraphicControlExtension CommentExtensionDataBlock  ZeroBlock ApplicationExtensionDataBlockZeroBlock TableBasedImageCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockZeroBlock )
/en/1/1f/IVDALogo.gif: (result:false, lastLocation:848, lastRead:847, symbol: ( [ CommentExtension DataBlock* ZeroBlock ] [ GraphicControlExtension? TableBasedImage CompressedDataBlock* ZeroBlock ] [ GraphicControlExtension? PlainTextExtension DataBlock* ZeroBlock ] [ ApplicationExtension DataBlock* ZeroBlock ] )*, sequence:  Header89a LogicalScreenDesc  TableBasedImageCompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock  ZeroBlock)
/en/1/16/Manetdb.gif: (result:false, lastLocation:789, lastRead:788, symbol: ( [ PlainTextExtension DataBlock* ] [ CommentExtension DataBlock* ] [ TableBasedImage CompressedDataBlock* ] [ ApplicationExtension DataBlock* ] ), sequence:  Header89a LogicalScreenDesc GraphicControlExtension)
/en/1/1e/No_Aliens.gif: (result:false, lastLocation:378, lastRead:377, symbol: ( [ Trailer ] ), sequence:  Header89a LogicalScreenDesc  ApplicationExtensionDataBlock  ZeroBlock CommentExtensionDataBlockZeroBlock GraphicControlExtensionTableBasedImageCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockZeroBlock GraphicControlExtensionTableBasedImageCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockZeroBlock )
/en/1/1c/South_Australian_premiers.gif: (result:false, lastLocation:213, lastRead:212, symbol: ( [ PlainTextExtension DataBlock* ] [ CommentExtension DataBlock* ] [ TableBasedImage CompressedDataBlock* ] [ ApplicationExtension DataBlock* ] ), sequence:  Header89a LogicalScreenDesc GraphicControlExtension)
/en/1/19/Mayhem_in_monsterland_mini.gif: (result:false, lastLocation:86, lastRead:85, symbol: ( [ Trailer ] ), sequence:  Header89a LogicalScreenDesc GraphicControlExtension TableBasedImageCompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock  ZeroBlock )
/en/0/08/070320-a6-shape-moire-pr-gt-pb.gif: (result:false, lastLocation:187, lastRead:186, symbol: ( [ Trailer ] ), sequence:  Header89a LogicalScreenDesc GraphicControlExtension CommentExtensionDataBlock  ZeroBlock ApplicationExtensionDataBlockZeroBlock TableBasedImageCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockZeroBlock )
/en/0/03/Miss_Misery.gif: (result:false, lastLocation:973, lastRead:972, symbol: ( [ CommentExtension DataBlock* ZeroBlock ] [ GraphicControlExtension? TableBasedImage CompressedDataBlock* ZeroBlock ] [ GraphicControlExtension? PlainTextExtension DataBlock* ZeroBlock ] [ ApplicationExtension DataBlock* ZeroBlock ] )*, sequence:  Header89a LogicalScreenDesc  CommentExtensionDataBlock  ZeroBlock TableBasedImageCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockCompressedDataBlockZeroBlock)
/en/0/0f/Mepic.gif: (result:false, lastLocation:822, lastRead:821, symbol: ( [ CommentExtension DataBlock* ZeroBlock ] [ GraphicControlExtension? TableBasedImage CompressedDataBlock* ZeroBlock ] [ GraphicControlExtension? PlainTextExtension DataBlock* ZeroBlock ] [ ApplicationExtension DataBlock* ZeroBlock ] )*, sequence:  Header89a LogicalScreenDesc  TableBasedImageCompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock CompressedDataBlock  ZeroBlock)
